game_id,total_incercari,cuvant_gasit,status,secventa_incercari
1,16,ICONOGRAFĂ,OK,e i l o t n u c s ă m d p g b f
2,16,FAGOCITUL,OK,e i r l o t n u s ă m d p g b f
3,6,APICOLILOR,OK,a e i r l o
4,21,HIPOPLAZII,OK,a e i r l t n u c s ă m d p g b f ț ș v z
5,14,PROHODI,OK,a e i r l t n u c s ă m d p
6,9,CIOPLEA,OK,a e i r o t n u c
7,22,COVÂRȘITELOR,OK,a e r l o t n u c s ă m d p g b f ț ș z h â
8,22,PÂRGUIRILE,OK,a e i r l o t n c s ă m d g b f ț ș v z h â
9,21,BURGHIERILE,OK,a i l o t n u c s ă m d p g b f ț ș v z h
10,19,SAMAVOLNICII,OK,a e r l o t n u c s ă d p g b f ț ș v
11,18,CĂȘĂIEȘTE,OK,a e i r l o n u c s m d p g b f ț ș
12,8,SISALUL,OK,e i r l o t n u
13,8,CINERARIILE,OK,e i l o t n u c
14,20,DEZAGLOMERĂM,OK,e i l o t n u c s ă m d p g b f ț ș v z
15,12,TETRODĂ,OK,a e i l o t n u c s m d
16,24,MÂNJITURII,OK,a e i l o t n c s ă m d p g b f ț ș v z h â î j
17,13,DESOFISTICĂRII,OK,a i r l o t n u c s ă m d
18,10,TĂIERI,OK,a e i l o n u c s ă
19,17,GENTILEȚILOR,OK,a e r o t n u c s ă m d p g b f ț
20,8,NENOROCITUL,OK,a e r l o t n u
21,23,ÎNAINTĂ,OK,a e r l o n u c s ă m d p g b f ț ș v z h â î
22,11,ISTMICUL,OK,a e i r o t n c s ă m
23,21,ASCUȚITUNGHICUL,OK,a e i r l o t n s ă m d p g b f ț ș v z h
24,15,OBNUBILĂRILOR,OK,a e i r l t n u c s m d p g b
25,15,BUMBĂCELULUI,OK,a e i r l o t n u s m d p g b
26,19,POSTĂVĂRIILE,OK,a e i l o t n u c s m d p g b f ț ș v
27,20,CENTROZOMUL,OK,a i r o t n u c s ă m d p g b f ț ș v z
28,19,DEBAVURASE,OK,a e i r l o t n c ă m d p g b f ț ș v
29,18,VRAMIȚE,OK,a e r l o t n u c s ă m d p g b f ț
30,5,RETORI,OK,a e r l o
31,13,EPISTOLARELOR,OK,a e r o t n u c s ă m d p
32,23,ÎNCHIABUREAȚI,OK,a e i r l o t n u c s ă m d p g f ț ș v z â î
33,11,LAMINATOAREA,OK,a i r o t n u c s ă m
34,14,PLATINEZ,OK,a i r l o t n u c s ă m d p
35,17,ȚĂNDĂRELEI,OK,a e i l o t n u c s ă m p g b f ț
36,19,TEVATURI,OK,e i l o t n u c s ă m d p g b f ț ș v
37,17,FIDANȚATA,OK,a e i r l o t n u c s ă m p g b ț
38,26,EXONDĂRILE,OK,a i r o t n u c s ă m d p g b f ț ș v z h â î j k x
39,12,DECOMANDATĂ,OK,e i r l o t n u c s ă d
40,14,OMAGIALI,OK,a e i r o t n u c s ă d p g
41,22,STÂLPISEM,OK,a i r l o t n u c s ă m d g b f ț ș v z h â
42,16,ELFILOR,OK,a i r o t n u c s ă m d p g b f
43,12,DECONCERTANTELE,OK,e i r l o t n u s ă m d
44,14,GAGICULUI,OK,a e r l o t n c s ă m d p g
45,13,APELARĂM,OK,e i r o t n u c s ă m d p
46,14,SPERMATOFITELOR,OK,a e i r l t n u c s ă m d p
47,18,NECREDINCIOȘILOR,OK,a e i l t n u c s ă m d p g b f ț ș
48,17,CINSTEȚUL,OK,a e i r l o n u c ă m d p g b f ț
